Bird Species,Average Length,Average Mass,Ecto-Parasite Prevalence(%),Endo-Parasite Prevalence(%),Total
Catharus ustulatus,12.34,30.94,46.88,53.13,32
Sturnus vulgaris,14.71,66.88,71.93,28.07,57
